Week,Day,Date,Type,Link text,URL
1,1,28-May,Video,Course intro,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=82661007-f96c-473e-8377-af8e015e24f0
1,1,28-May,Video,"Linux, ugrad accounts",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=1273cccc-b312-47d4-802a-ae2200fefc22
1,1,28-May,Slides,Course intro,slides/day01_intro.pdf
1,1,28-May,Slides,"Linux, ugrad accounts",slides/day01_linux_basics.pdf
1,1,28-May,Recap,Day 1,questions/day01.html
1,1,28-May,Exercise,Exercise 1,exercise/ex01.html
1,1,28-May,Resource,Unix/Linux Tutorial,https://cs.jhu.edu/~joanne/unix.html
1,1,28-May,Resource,Unix/Linux Reference Card,https://cs.jhu.edu/~joanne/unixRC.pdf
1,1,28-May,Resource,Github SSH key setup,resources/github-ssh.html
1,1,28-May,Video,Hello world program in C,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=1a42038f-6e6e-43cb-958a-ae230027ad23
1,1,28-May,Video,C basics,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=c7fc4118-f301-40bb-8693-ae230027ac09
1,1,28-May,Slides,Hello world program in C,slides/day02_hello_world_c.pdf
1,1,28-May,Slides,C basics,slides/day02_c_basics.pdf
1,1,28-May,Recap,Day 2,questions/day02.html
1,1,28-May,Exercise,Exercise 2,exercise/ex02.html
1,1,28-May,Resource,Online C compiler,https://www.onlinegdb.com/online_c_compiler
1,1,28-May,LectureSlides,Day 01 Notes, slides/summer24_slides/summer24_session01_day01-02_annotated.pdf

1,2,30-May,Video,Editors (emacs),https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d7af51c6-fffc-4c79-9e8e-ae230027adb4
1,2,30-May,Video,Git,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=7f332c5e-6ad8-4ff8-a702-ae23002793cf
1,2,30-May,Video,Submission workflow,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4c4f67dd-677c-40d9-8bbc-ae230027ac60
1,2,30-May,Slides,Editors (emacs),slides/day03_editors.pdf
1,2,30-May,Slides,Git,slides/day03_git.pdf
1,2,30-May,Slides,Submission workflow,slides/day03_submission_workflow.pdf
1,2,30-May,Recap,Day 3,questions/day03.html
1,2,30-May,Exercise,Exercise 3-A,exercise/ex03a.html
1,2,30-May,Exercise,Exercise 3-B,exercise/ex03b.html
1,2,30-May,Resource,Emacs reference card,https://www.gnu.org/software/emacs/refcards/pdf/refcard.pdf
1,2,30-May,Resource,Interactive Vim tutorial,https://www.openvim.com/
1,2,30-May,Resource,Vim lecture video,https://missing.csail.mit.edu/2020/editors/ 
1,2,30-May,Resource,Git cheatsheet,https://github.github.com/training-kit/downloads/github-git-cheat-sheet.pdf
1,2,30-May,Video,"Logical operators, control flow",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=45b14d44-3d4e-4fd7-b0c0-ae230027aef2
1,2,30-May,Slides,"Logical operators, control flow",slides/day04_control_flow.pdf
1,2,30-May,Recap,Day 4,questions/day04.html
1,2,30-May,Exercise,Exercise 4,exercise/ex04.html
1,2,30-May,LectureSlides,Day 2 Notes (annotated),slides/summer24_slides/summer24_session02_day03-04_annotated.pdf

2,1,2-Jun,Video,"Arrays, ASCII",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=58f4d402-fd0d-4868-b805-ae230027ab93
2,1,2-Jun,Video,C strings,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=06a4f1da-f6a1-4212-b686-ae230027ab33
2,1,2-Jun,Slides,Arrays,slides/day05_arrays.pdf
2,1,2-Jun,Slides,C strings,slides/day05_c_strings.pdf
2,1,2-Jun,Recap,Day 5,questions/day05.html
2,1,2-Jun,Exercise,Exercise 5,exercise/ex05.html
2,1,2-Jun,Video,"File I/O, assert, math functions",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=ae149930-15ce-460c-a2df-ae230027aac0
2,1,2-Jun,Video,"Writing functions, command line arguments",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=1de2958b-f8b8-4fae-ac47-ae230027aa77
2,1,2-Jun,Slides,"File I/O, assert, math functions",slides/day06_fileio_assertion_math.pdf
2,1,2-Jun,Slides,"Writing functions, command line arguments",slides/day06_functions_command_line_arguments.pdf
2,1,2-Jun,Recap,Day 6,questions/day06.html
2,1,2-Jun,Exercise,Exercise 6,exercise/ex06.html
2,1,2-Jun,LectureSlides,Day 3 Notes (annotated),slides/summer24_slides/summer24_session03_day05-06_annotated.pdf

2,2,4-Jun,Slides,Function declarations,slides/day07_function_declaration.pdf
2,2,4-Jun,Slides,Passing arrays to functions,slides/day07_passing_arrays_to_functions.pdf
2,2,4-Jun,Slides,Recursion,slides/day07_recursion.pdf
2,2,4-Jun,Video,Function declarations,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=bbef007b-88a8-4e42-bcc4-ae230027a8f4
2,2,4-Jun,Video,Passing arrays to functions,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=c18158bd-cf31-48c4-a2c0-ae230027a87e
2,2,4-Jun,Video,Recursion,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=12215376-94e9-48dd-8d5a-ae230027937e
2,2,4-Jun,Recap,Day 7,questions/day07.html
2,2,4-Jun,Exercise,Exercise 7,exercise/ex07.html
2,2,4-Jun,Slides,Separate compilation,slides/day08_separate_compilation.pdf
2,2,4-Jun,Slides,Makefiles,slides/day08_makefiles.pdf
2,2,4-Jun,Slides,Header guards,slides/day08_header_guards.pdf
2,2,4-Jun,Video,Separate compilation,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=76660996-f221-4bda-85bf-ae230027aa0b
2,2,4-Jun,Video,Makefiles,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=956ae811-74a5-48f2-8d73-ae230027a9b0
2,2,4-Jun,Video,Header guards,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=76a9e1f6-07f3-483c-9341-ae230027a948
2,2,4-Jun,Recap,Day 8,questions/day08.html
2,2,4-Jun,Exercise,Exercise 8,exercise/ex08.html
2,2,4-Jun,LectureSlides,Day 4 Notes (annotated),slides/summer24_slides/summer24_session04_day07-08_annotated.pdf

2,3,6-Jun,Slides,Function declarations,slides/day07_function_declaration.pdf
2,3,6-Jun,Slides,Passing arrays to functions,slides/day07_passing_arrays_to_functions.pdf
2,3,6-Jun,Slides,Recursion,slides/day07_recursion.pdf
2,3,6-Jun,Video,Function declarations,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=bbef007b-88a8-4e42-bcc4-ae230027a8f4
2,3,6-Jun,Video,Passing arrays to functions,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=c18158bd-cf31-48c4-a2c0-ae230027a87e
2,3,6-Jun,Video,Recursion,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=12215376-94e9-48dd-8d5a-ae230027937e
2,3,6-Jun,Recap,Day 7,questions/day07.html
2,3,6-Jun,Exercise,Exercise 7,exercise/ex07.html
2,3,6-Jun,Slides,Separate compilation,slides/day08_separate_compilation.pdf
2,3,6-Jun,Slides,Makefiles,slides/day08_makefiles.pdf
2,3,6-Jun,Slides,Header guards,slides/day08_header_guards.pdf
2,3,6-Jun,Video,Separate compilation,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=76660996-f221-4bda-85bf-ae230027aa0b
2,3,6-Jun,Video,Makefiles,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=956ae811-74a5-48f2-8d73-ae230027a9b0
2,3,6-Jun,Video,Header guards,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=76a9e1f6-07f3-483c-9341-ae230027a948
2,3,6-Jun,Recap,Day 8,questions/day08.html
2,3,6-Jun,Exercise,Exercise 8,exercise/ex08.html
2,3,6-Jun,LectureSlides,Day 4 Notes (annotated),slides/summer24_slides/summer24_session04_day07-08_annotated.pdf

3,1,9-Jun,Slides,"Multidimensional arrays, gdb",slides/day09_multidimensional_arrays_gdb.pdf
3,1,9-Jun,Video,"Multidimensional arrays, gdb",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=67aec427-5035-40bb-a34f-ae230027a824
3,1,9-Jun,Recap,Day 9,questions/day09.html
3,1,9-Jun,Exercise,Exercise 9,exercise/ex09.html
3,1,9-Jun,Resource,GDB Cheat Sheet,https://darkdust.net/files/GDB%20Cheat%20Sheet.pdf
3,1,9-Jun,Video,Pointers,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=7dd96f56-4676-4f7c-913d-ae230027a7a3
3,1,9-Jun,Slides,Pointers,slides/day10_pointers.pdf
3,1,9-Jun,Recap,Day 10,questions/day10.html
3,1,9-Jun,Exercise,Exercise 10,exercise/ex10.html
3,1,9-Jun,Resource,Binky the Pointer (Video),https://www.youtube.com/watch?v=5VnDaHBi8dM
3,1,9-Jun,LectureSlides,Day 5 Notes (annotated),slides/summer24_slides/summer24_session05_day09-10_annotated.pdf

